province,lat,lng,operators,awn_license_no,awn_station_code,nt_license_no,nt_station_code,tuc_license_no,tuc_station_code
นครราชสีมา,15.336666,102.18361,AWN|NT,060365050415|060356050161,878047 เมนรูท ขามสะแกแสง|878047 เมนรูท ขามสะแกแสง,060363059772,878047_MKSSM,,
นครราชสีมา,15.400833,102.53361,AWN|NT,060365050416|060364137174|060356033380,878082 โนนแดง|เสาไฟฟ้าข้างอาคาร)|878082 โนนแดง,060360120849,878082_NODGM,,
นครราชสีมา,14.964444,101.947777,AWN|NT,060365050417|060356001588,878171 ขามทะเลสอ|878171 ขามทะเลสอ,060366000791,878171_KTLSM,,
นครราชสีมา,15.47611,102.62611,AWN|NT,060365050418|060357021170,878274 บ้านหญ้าคา|878274 บ้านหญ้าคา,060366000796,878274_BYKAM,,
นครราชสีมา,14.749166,102.337499,AWN|NT,060365050419|060356016926,878285 บ้านตลาดใหม่พัฒนา|878285 บ้านตลาดใหม่พัฒนา,060360205605,878285_BTPNM,,
นครราชสีมา,14.805833,102.42611,AWN|NT,060365050420|060356016927,878301 บ้านดอนหนองจิก|878301 บ้านดอนหนองจิก,060363059798,878301_BNJIM,,
นครราชสีมา,14.356666,102.510555,AWN|NT,060365050421|060357045817,878462 บ้านสันติสุข|878462บ้านสันติสุข,060360257706,878462_BSTSM,,
นครราชสีมา,15.496388,102.564444,AWN|NT,060365050422|060356016962,878511 ดอนยาวน้อยโนนแดง|878511 ดอนยาวน้อยโนนแดง,060360120888,878511_DYNDM,,
นครราชสีมา,15.033054,102.189444,AWN|NT,060365050423|060356028995,878746 บ้านมะค่า|878746 บ้านมะค่า,060360118895,878746_MAKAM,,
ชัยภูมิ,16.220832,102.187221,AWN|NT,060365061843|060356023379,877168 หนองคัน-ภูเขียว|877168หนองคัน-ภูเขียว,060363059565,877168_NHPKM,,
ชัยภูมิ,16.421388,102.106666,AWN|NT|TUC,060365061844|060357038156,877236 บ้านแก้ง-ภูเขียว|877236 บ้านแก้ง-ภูเขียว,060361127673,877236_BKGPK,060362166516,CPM0130-U21
ชัยภูมิ,16.119999,101.84111,AWN|NT,060365061845|060357072269,877243|877243 บ้านนาสมบูรณ์-หนองขาม,060361127677,877243_BNSNK,,
ชัยภูมิ,16.356388,102.412777,AWN|NT,060365061846|060358005279,877280 ดอนขิงแคง-บ้านแท่น|877280 ดอนขิงแคง-บ้านแท่น,060360257686,877280_DKKBT,,
ชัยภูมิ,16.3625,102.377777,AWN|NT,060365061847|060358005280,877282 บ้านเต่า-บ้านแท่น|877282 บ้านเต่า-บ้านแท่น,060361127680,877282_BTBTN,,
ชัยภูมิ,15.658611,102.037221,AWN|NT|TUC,060365061848|060358004343,877287 โค้งขนัน-บ้านค่าย|877287 โค้งขนัน-บ้านค่าย,060363123394|060360119835,CPM0162-L23|877287_KKNBK,060362166833,CPM0162-U21
ชัยภูมิ,16.348888,102.056944,AWN|NT,060365061849|060359015366,877427 โนนทัน-ภูเขียว|877427 โนนทัน-ภูเขียว,060366000776,877427_NTNPK,,
ชัยภูมิ,16.546666,101.861944,AWN,060365061850|060359187054,877548 วัดทุ่งสว่างวนาราม-คอนสาร|877548 วัดทุ่งสว่างวนาราม-คอนสาร,,,,
ชัยภูมิ,15.766943,102.000555,AWN|NT,060365061851|060362004324,877853|877853 บ้านหนองนาแซง-ชัยภูมิ,060366002768,877853_BNSCY,,
นครราชสีมา,15.54861,102.52861,AWN|NT,060365061852|060356003103,878040 แยกสีดา|878040 แยกสีดา,060361144488,878040_YSDAM,,
นครราชสีมา,15.275554,102.417221,AWN|NT,060365061853|060356003105,878044 ตลาดแค|878044 ตลาดแค,060360068136,878044_TLKEM,,
นครราชสีมา,14.788888,101.516388,AWN|NT,060365061854|060357021166,878077 วัดเขาน้อย|878077 วัดเขาน้อย,060361144490,878077_WKNOM,,
นครราชสีมา,14.698055,101.998888,AWN|NT,060365061855|060356032345,878098 แยกลำพระเพลิง|878098 แยกลำพระเพลิง,060363059781,878098_YLPPM,,
นครราชสีมา,15.27611,102.630277,AWN|NT,060365061856|060356016913,878168 บ้านหนองจิก|878168 บ้านหนองจิก,060363059789,878168_NGCHM,,
นครราชสีมา,15.293333,101.564722,AWN|NT,060365061857|060356016915,878170 เทพารักษ์|878170 เทพารักษ์,060366000790,878170_TEPRM,,
นครราชสีมา,15.055277,102.363055,AWN|NT,060365061858|060356016917,878189 ทองหลาง|878189 ทองหลาง,060360068164,878189_TOLGM,,
นครราชสีมา,14.714166,101.589999,AWN|NT,060365061859|060356027384,878211 วังไทร|878211 วังไทร,060367061878,878211_WGSIM,,
นครราชสีมา,14.872221,101.775832,AWN|NT,060365061860|060356003121,878232 บ้านมะเกลือใหม่)|878232 บ้านมะเกลือใหม่),060360118852,878232_BNMMM,,
นครราชสีมา,15.190833,102.840833,AWN|NT,060365061861|060356033941,878238 ตลาดไทร|878238 ตลาดไทร,060361127794,878238_TLSAM,,
นครราชสีมา,14.954722,101.577221,AWN|NT,060365061862|060356047887,878239 หนองหญ้าขาว|878239 หนองหญ้าขาว,060360205604,878239_NYKOM,,
นครราชสีมา,15.334444,102.153888,AWN|NT,060365061863|060356016919,878266 บ้านขามสะแกแสง|878266 บ้านขามสะแกแสง,060361127796,878266_BKSKM,,
นครราชสีมา,14.743333,102.219999,AWN|NT,060365061864|060356016227,878297 โรงงาน ซีพี โชคชัย|878297 โรงงาน ซีพี โชคชัย,060361105113,878297_CPCFM,,
นครราชสีมา,15.177499,102.408611,AWN|NT,060365061865|060356016928,878305 ธารละหลอด|878305 ธารละหลอด,060360205606,878305_TALLM,,
นครราชสีมา,14.948333,102.494999,AWN|NT|TUC,060365061866|060357021173,878323|878323 หนองขาม,060360120869,878323_NONKM,060359107120,NMA0415-U21
นครราชสีมา,15.050833,102.408333,AWN|NT,060365061867|060356012019,878325 โรงงานซีเบิด|878325 โรงงานซีเบิด,060362226946,878325_SEBDM,,
นครราชสีมา,14.489166,102.469999,AWN|NT,060365061868|060357021177,878335 สุขไพบูลย์|878335 สุขไพบูลย์,060366000805,878335_SUPBM,,
นครราชสีมา,15.610833,102.567221,AWN|NT,060365061869|060356003132,878338 แยกบัวลาย|878338 แยกบัวลาย,060360205089,878338_YBLIM,,
นครราชสีมา,14.720277,101.516388,AWN|NT,060365061870|060356033946,878403 วัดคลองยาง|878403 วัดคลองยาง,060360120876,878403_WTKYM,,
นครราชสีมา,15.164722,101.734444,AWN|NT,060365061871|060356016230,878498|878498 สามแยกกุดม่วงด่านขุนทด,060362226953,878498_SKDTM,,
นครราชสีมา,15.046388,102.611944,AWN|NT,060365061872|060356016965,878524 สมสะอาด-ห้วยแถลง|878524 สมสะอาด-ห้วยแถลง,060363059815,878524_SAHTM,,
นครราชสีมา,15.543888,102.776666,AWN|NT,060365061873|060356016975,878684 ตลาดไทร-ประทาย|878684 ตลาดไทร-ประทาย,060361127827,878684_TDSPM,,
นครราชสีมา,14.908055,101.97611,AWN|NT,060365061874|060357055138,878853|878853 โชคอนันต์ โคกกรวด,060361127848,878853_CANKK,,
นครราชสีมา,15.515,102.380554,AWN|NT,060365061875|060357072271,878892|878892 โนนทองหลาง-บัวใหญ่),060361127858,878892_NTLBY,,
นครราชสีมา,15.091388,102.382499,AWN|NT,060365061876|060357072274,878919 บ้านขามทุ่ง จักราช|878919 บ้านขามทุ่งจักราช,060360118913,878919_KTCKR,,
นครราชสีมา,14.944444,101.933888,AWN|NT,060365061877|060357038183,878946|878946 โป่งแดง-ขามทะเลสอ,060360119874,878946_PDKTL,,
นครราชสีมา,15.567777,102.46861,AWN|NT,060365061546|060358001174,|,060360192528,870026_KCGBY,,
นครราชสีมา,15.34361,102.432777,AWN|NT,060365061547|060357039321,870040 นางคลาน-เมืองคง|870040 นางคลาน-เมืองคง,060361127399,870040_NKMKG,,
นครราชสีมา,15.269166,101.789721,AWN|NT,060365061548|060358006503,870303|870303หนองบัวตะเกียด-ด่านขุนทด,060361127414,870303_NBDKT,,
นครราชสีมา,14.965833,101.677221,AWN|NT|TUC,060365061549|060358006505,870305 บ้านใหม่ ก.ม.10-สีคิ้ว|870305 บ้านใหม่ ก.ม.10-สีคิ้ว,060366000626,870305_BNMSK,060362166854,NMA0660-U21
นครราชสีมา,14.928054,101.94861,AWN|NT,060365061550|060358008855,870349 ละลมหม้อ-โคกกรวด|870349 ละลมหม้อ-โคกกรวด,060360119405,870349_LLMKK,,
นครราชสีมา,14.858888,102.369999,AWN|NT,060365061551|060358058051,870690 หินมงคล-สีสุก|870690 หินมงคล-สีสุก,060361105098,870690_HMKSS,,
นครราชสีมา,15.639721,102.748888,AWN|NT,060365061552|060359054567,870777 เมืองโดน-ประทาย|870777 เมืองโดน-ประทาย,060360192541,870777_MGDPT,,
นครราชสีมา,15.084721,102.044444,AWN|NT,060365049859|060357020942,870061 บ้านกระเสียว|870061 บ้านกระเสียว,060363100991,870061_BNKRS,,
นครราชสีมา,14.722777,102.223054,AWN|NT,060365049860|060358008853,870342 บ้านโจด-ท่าเยี่ยม|870342 บ้านโจด-ท่าเยี่ยม,060366000633,870342_BCTYM,,
นครราชสีมา,14.958055,101.622221,AWN|NT,060365049861|060358046797,870474บ้านทรัพย์สมบูรณ์หมู่ที่12|870474 บ้านทรัพย์สมบูรณ์ หมู่12,060366000644,870474_BSBMS,,
นครราชสีมา,14.99611,102.114444,AWN|NT,060365049862|060359054690,871144หน้าธัญญปุระ-ซอย30กันยา|871144 หน้าธัญญปุระ-ซอย30กันยา,060364012925,871144_TYPRS,,
นครราชสีมา,14.742499,101.946388,AWN|NT,060365049863|060359059426,871221 หนองเรือ-ปักธงชัย|871221 หนองเรือ-ปักธงชัย,060367061841,871221_NGRPT,,
ชัยภูมิ,16.07111,102.280554,AWN|NT,060365049864|060356023366,877046 ช่องสามหมอ|877046 ช่องสามหมอ,060361127629,877046_CSMOM,,
ชัยภูมิ,16.539166,101.901388,AWN|NT|TUC,060365049865|060356049969,877074 ห้วยยาง|877074 ห้วยยาง,060360193536,877074_HUYGM,060356060667,CPM0052-U21
ชัยภูมิ,16.23111,101.92361,AWN|NT,060365049866|060356027214,877109 บ้านบัว|877109 บ้านบัว,060360119833,877109_BABAM,,
ชัยภูมิ,15.656388,101.565277,AWN|NT,060365049867|060357061020,877158 โนนจำปา นายางกลัก|877158 โนนจำปา นายางกลัก,060360205576,877158_JPYKM,,
นครราชสีมา,14.720832,101.942221,AWN,060365049868|060357021167,878186 บ้านสุขัง|878186 บ้านสุขัง,,,,
นครราชสีมา,14.737777,101.763888,AWN,060365049869|060356012018,878322 บ้านวังรางใหญ่พัฒนา|878322 บ้านวังรางใหญ่พัฒนา,,,,
นครราชสีมา,14.938888,101.681388,AWN|NT,060365049870|060356001834,878371 บ้านหนองรี|878371 บ้านหนองรี,060360120874,878371_NREEM,,
นครราชสีมา,14.739444,102,AWN|NT,060365049871|060356003146,878527บ้านหันเหนือ-ปักธงชัย|,060366000813,878527_HNPCM,,
นครราชสีมา,14.589999,101.893888,AWN|NT,060365049872|060356003147,878528 ลำนางแก้ว-ปักธงชัย|,060362226955,878528_LKPTM,,
ชัยภูมิ,15.787221,102.030832,AWN|NT,060365123723|060362058891|060362058911,877851 โรบินสัน ชัยภูมิ|877851 ศูนย์บริการ เอไอเอส โรบินสัน ชัยภูมิ|877851 โรบินสัน ชัยภูมิ,060366001384,877851_RBCPW,,
นครราชสีมา,15.082221,102.231388,AWN|NT,060365061553|060358078806,870814 โรงสีเจียเม้ง|870814 โรงสีเจียเม้ง,060360068113,870814_RSCMG,,
นครราชสีมา,15.282777,102.248333,AWN|NT,060365061554|060359022544,871040|871040 บ้านดอนมันกระซาก-โนนสูง,060360068120,871040_BDMNS,,
นครราชสีมา,14.661388,101.900555,AWN|NT,060365061555|060359054570,871176|871176บ้านกระเชาะราก-ปักธงชัย,060366000704,871176_BKRTC,,
นครราชสีมา,15.480277,102.7575,AWN|NT,060365061556|060359054571,871177|871177บ้านใหม่โคกกลาง-ประทาย,060360193508,871177_BKKPT,,
นครราชสีมา,15.450833,102.393333,AWN|NT,060365061557|060361105937,872107|872107 บ้านคูขาด,060367061842,872107_BKKMK,,
นครราชสีมา,14.695833,101.250833,AWN,060365033310,219120 ป้ายโฆษณาตลาดอินโดจีน,,,,
ชัยภูมิ,15.591944,101.710277,AWN,060365049649,807356 โป่งเกตุ-ซับใหญ่),,,,
ชัยภูมิ,15.613888,101.703333,AWN,060365049650,807357 ท่าชวน-ซับใหญ่),,,,
นครราชสีมา,14.959722,101.755833,AWN|NT,060365049651,808646 บ้านหัน-สีคิ้ว,060366005173,808646_BHNSK,,
นครราชสีมา,14.619721,102.142777,AWN|NT|TUC,060365049681,Co-DTAC),060363120552,NMA0732-L23,060361169619,NMA0732-U21
นครราชสีมา,14.930277,101.618332,AWN,060365049685,808733 หนองห่าน-สีคิ้ว,,,,
นครราชสีมา,15.305277,102.301388,AWN,060365049686,808766 ดอนม่วง-โนนสูง,,,,
ชัยภูมิ,15.544721,101.413055,AWN|NT,060365049697,807103 บ้านไร่-เทพสถิต,060366005155,807103_BRTST,,
ชัยภูมิ,16.217777,101.524166,AWN,060365049698,807104 โนนศรีสง่าหมู่8-หนองบัวแดง,,,,
ชัยภูมิ,16.227499,101.567499,AWN,060365049699,807105 บ้านคลองเจริญ-หนองบัวแดง,,,,
ชัยภูมิ,16.110833,101.761111,AWN,060365049700,807107 บ้านโนนสะอาด-หนองบัวแดง,,,,
ชัยภูมิ,15.510277,101.434444,AWN,060365049701,807110 บ้านยางเตี้ย-เทพสถิต,,,,
ชัยภูมิ,16.113611,101.571666,AWN,060365049702,807116 บ้านหลักแดน-หนองบัวแดง,,,,
ชัยภูมิ,16.113888,101.802222,AWN,060365049703,807234 บ้านลาดเหนือ,,,,
นครราชสีมา,14.546388,102.337499,AWN,060365049704,808072 บุมะค่า-ครบุรี,,,,
นครราชสีมา,14.4075,101.685277,AWN,060365049719,874717 คลองสะท้อน-วังหมี,,,,
ชัยภูมิ,15.821943,102.030277,AWN|NT,060365049733|060361180419,807249 เอื้ออาทรโนนสมอ-ชัยภูมิ|877699 ชุมชนโนนสมอ,060366005156,807249_EANSM,,
ชัยภูมิ,15.864444,101.591388,AWN,060365049734,807381 สำนักตูมกา-หนองบัวระเหว,,,,
นครราชสีมา,15.144721,102.139721,AWN|NT,060365049735,808026 บ้านด่านติง-โนนสูง,060367058263,808026_BDTNS,,
นครราชสีมา,14.446388,101.819166,AWN,060365049736,808266บ้านวังไผ่-วังน้ำเขียว,,,,
นครราชสีมา,15.290833,102.510555,AWN,060365049737,808288 บ้านซาดหมู่6-พิมาย,,,,
นครราชสีมา,15.000277,102.22861,AWN|NT,060365049738,808360บ้านพระพุทธ-เฉลิมพระเกียรติ,060366005166,808360_BPPCL,,
นครราชสีมา,14.743055,102.219999,AWN|NT,060365049739,808772ข้างโรงงานแปรรูปซีพีเอฟ-โชคชัย,060366005176,808772_CPFCC,,
นครราชสีมา,15.457777,102.827221,AWN,060365049740,808774บ้านเมืองจาก-เมืองยาง,,,,
นครราชสีมา,14.921388,102.400277,AWN,060365049749,874769 โคกสำโรง-จักราช,,,,
นครราชสีมา,14.78111,102.162777,AWN|NT|TUC,060358008850,870339,060363128719|060360119403,NMA0759-L23|870339_BTPCC,060362166858,NMA0759-U21
นครราชสีมา,15.035277,102.156111,AWN|NT,060358006516,870343 บ้านบุ-ตลาด,060360119404,870343_BBUTL,,
นครราชสีมา,14.728332,102.163333,AWN|NT,060358037195,870446 การประปาโชคชัย,060361144473,870446_CCWTS,,
นครราชสีมา,15.747777,102.256111,AWN|NT,060359054551,870638 แก้งขาม-แก้งสนามนาง,060361127427,870638_KMSNG,,
นครราชสีมา,15.601944,102.305555,AWN|NT,060359000884,870778 สระครก-บัวใหญ่),060361127439,870778_SKKBY,,
นครราชสีมา,15.384999,102.171943,AWN|NT,060359017476,870886 ริมบึง-ขามสะแกแสง,060360205559,870886_RBKSK,,
นครราชสีมา,15.063611,101.948888,AWN|NT|TUC,060359022515,870902 พันดุงพัฒนา-ขามทะเลสอ,060366002602,870902_PDPKL,060357040193,NMA0247-U21
นครราชสีมา,14.996944,102.650277,AWN|NT,060359022532,870990ข้างโรงพยาบาลห้วยแถลง,060360120829,870990_RBHTL,,
นครราชสีมา,15.558888,102.369999,AWN|NT|TUC,060359104931,871072 บุเสมา-หนองแจ้งใหญ่),060366005196,871072_BSMJY,060360238181,NMA0460-U21
นครราชสีมา,14.513611,101.799444,AWN,060360006294,871578 วัดป่าสุขศรีงาม-วังน้ำเขียว,,,,
นครราชสีมา,14.69361,101.544166,AWN|NT,060362226365,874297บ้านภูเงิน-วังไทรปากช่อง,060364012956,874297_BPNGW,,
ชัยภูมิ,16.404444,102.344444,AWN|NT|TUC,060357072265,877034 บ้านแท่น,060363132115|060361127625,CPM0229-L23|877034_BTHNM,060362166886,CPM0229-U21
ชัยภูมิ,15.908055,101.421666,AWN|NT,060356027379,877065 เจาทอง,060361127631,877065_CHTGM,,
ชัยภูมิ,16.093055,101.715277,AWN|NT,060356027209,877090 บ้านหนองแวง,060367061857,877090_BNWAM,,
ชัยภูมิ,15.99361,102.337499,AWN|NT,060365050817|060356027210,877095 ศรีสำราญ|877095 ศรีสำราญ,060363059559,877095_SRANM,,
ชัยภูมิ,15.483888,101.435555,AWN|NT,060356016899,877101 บ้านโคกรัง,060360205575,877101_BKRAM,,
ชัยภูมิ,15.420554,101.544721,AWN|NT,060356016900,877102 บ้านห้วยยายจิ๋ว,060363059560,877102_BHYCM,,
ชัยภูมิ,16.441388,102.186666,AWN|NT,060356023375,877118 บ้านม่วง - กุดยม,060361127647,877118_BMKYM,,
ชัยภูมิ,15.433054,101.690833,AWN|NT,060356033377,877133 แยกคำปิง,060361127656,877133_YKKPM,,
ชัยภูมิ,16.593333,101.929166,AWN|NT,060356023378,877148 สี่แยกคอนสาร,060363059563,877148_SYKSM,,
ชัยภูมิ,16.008333,101.701944,AWN|NT,060358005282,877284 ห้วยกนทา-หนองบัวแดง,060360193548,877284_HKTBD,,
ชัยภูมิ,15.451111,101.685277,AWN|NT,060359032918,877323 บ้านเพชร-บำเหน็จณรงค์,060363059578,877323_BPBNR,,
ชัยภูมิ,16.044721,102.182777,AWN|NT,060359015371,877433 หนองทุ่ม-แก้งคร้อ,060361127692,877433_NTMKK,,
นครราชสีมา,15.701666,102.322499,AWN|NT,060356050162,878050 หนองขามนาดี 1,060363059773,878050_MNDIM,,
นครราชสีมา,15.306111,101.973054,AWN|NT,060356016907,878064 พระทองคำ,060366000786,878064_PTKMM,,
นครราชสีมา,14.635555,101.241388,AWN|NT,060356002591,878179 บ้านซับจำปา,060360068163,878179_BSJPM,,
นครราชสีมา,14.438333,101.676943,AWN|NT,060356012016,878220 วังหมี,060360068169,878220_WNMIM,,
นครราชสีมา,15.353888,102.08111,AWN|NT,060356016929,878309 บ้านหนองผักชี,060363059799,878309_BPSEM,,
นครราชสีมา,14.855555,102.223332,AWN|NT,060356001594,878354 ท่าจะหลุง,060361127799,878354_THCLM,,
นครราชสีมา,14.359444,101.91861,AWN|NT,060357021178,878360 ไทยสามัคคี,060366000806,878360_TAISM,,
นครราชสีมา,15.634444,102.693055,AWN|NT,060356033948,878429 บ้านหนองแวงน้อย,060361127807,878429_NWNIM,,
นครราชสีมา,15.262777,102.803333,AWN|NT,060356016944,878439 ดงบัง,060361127811,878439_DGBGM,,
นครราชสีมา,14.568054,102.190555,AWN|NT,060356012026,878461 บ้านอรพิมพ์,060366000810,878461_BOPMM,,
นครราชสีมา,15.63361,102.47861,AWN|NT|TUC,060356016960,878501 ป่าหวาย บัวลาย,060363059812,878501_PWBLM,060362166577,NMA0569-U21
นครราชสีมา,15.301111,102.707222,AWN|NT,060357021185,878531 อ่างเก็บน้ำห้วยบง-ชุมพวง,060360120890,878531_AHCPM,,
นครราชสีมา,15.524999,102.131943,AWN|NT,060356016972,878632 โนนปอแดง-เมืองคง,060363059822,878632_NPDMM,,
นครราชสีมา,14.93861,101.905555,AWN|NT|TUC,060357069067,878760 บ้านโนน-ขามทะเลสอ,060360118897,878760_NKTRM,060360217643,NKR8708
นครราชสีมา,14.674999,101.973888,AWN|NT,060357055147,878880 วิทยาลัยเทคนิคปักธงชัย,060363059843,878880_TNICP,,
นครราชสีมา,15.67111,102.203333,AWN|NT,060357072273,878918บ้านโนนระเวียง แก้งสนามนาง,060361127865,878918_NRWKS,,
นครราชสีมา,15.255555,102.177499,AWN,060365065216,808267,,,,
นครราชสีมา,14.803888,101.564722,AWN|NT,060365065217,808850,060366005178,808850_JPKYT,,
